Cities,Year,,,,,,
,2016,2017,2018,2019,2020,2021,2022
Milano,0,0,1,2,1,2,0
Amsterdam,0,0,2,1,1,3,0
Bergamo,0,0,0,0,0,1,0
Madrid,5,8,6,4,4,4,2
München,3,4,3,3,4,4,1
Istanbul,0,1,1,0,1,0,0
Dortmund,2,1,2,2,3,2,0
Bern,0,0,1,0,0,1,0
London,3,4,2,5,1,5,1
Brugge,0,0,0,0,1,0,0
Kiev,1,0,1,0,2,0,0
Barcelona,3,4,4,5,3,1,0
Porto,2,2,3,1,2,2,0
Tiraspol,0,0,0,0,0,1,0
Torino,1,5,2,4,3,4,0
Villeneuve D’Ascq,0,0,0,0,0,1,0
Liverpool,0,2,5,4,2,3,1
Malmö,0,0,0,0,0,0,0
Manchester,2,7,3,4,6,7,2
Manchester,2,7,3,4,6,7,2
Paris,1,4,2,3,3,3,1
Leipzig,0,1,0,2,4,4,0
Wals-Siezenheim,0,0,0,0,0,0,0
Madrid,5,8,6,4,4,4,2
Sevilla,2,3,0,0,2,1,0
Donetsk,0,0,0,0,0,0,0
Lisboa,2,2,1,2,1,4,0
Lisboa,2,2,1,2,1,4,0
Wolfsburg,0,0,0,0,0,1,0
Villarreal,0,0,0,0,0,1,1
St. Petersburg,0,0,0,2,0,1,0
Paris - St. Denis,0,0,0,0,0,0,0
Mönchengladbach,0,0,0,0,1,0,0
Herning,0,0,0,0,0,0,0
Budapest,0,0,0,0,0,2,0
Krasnodar,0,0,0,0,1,0,0
Istanbul,0,1,1,0,1,0,0
Roma,0,2,5,1,2,0,0
Moskva,0,2,2,0,0,0,0
Piräus,0,0,0,1,1,0,0
Marseille,0,0,0,0,1,0,0
Rennes,0,0,0,0,0,0,0
Madrid,5,8,6,4,4,4,2
Budapest,0,0,0,0,0,2,0
Bucuresti,0,0,0,0,0,0,0
Leverkusen,1,0,0,1,0,0,0
Beograd,0,0,1,1,0,0,0
Zagreb,0,0,0,1,0,0,0
Istanbul,0,1,1,0,1,0,0
Genk,0,0,0,0,0,0,0
Décines-Charpieu,1,0,0,1,1,0,0
Praha,0,0,0,0,0,0,0
Napoli,1,2,2,2,0,0,0
London,3,4,2,5,1,5,1
Valencia,0,0,2,1,0,0,0
Kharkiv,0,3,1,0,0,0,0
Sinsheim,0,0,0,0,0,0,0
Athen,0,0,0,0,0,0,0
Monaco,2,2,0,0,0,0,0
Moskva,0,2,2,0,0,0,0
Gelsenkirchen,0,0,2,0,0,0,0
Eindhoven,0,0,0,0,0,0,0
Plzeň,0,0,1,0,0,0,0
London,3,4,2,5,1,5,1
Athen,0,0,0,0,0,0,0
Moskva,0,2,2,0,0,0,0
Nikosia,0,0,0,0,0,0,0
Glasgow,0,0,0,0,0,0,0
Basel,0,2,0,0,0,0,0
Rotterdam,0,1,0,0,0,0,0
Maribor,0,0,0,0,0,0,0
Baku,0,0,0,0,0,0,0
Bruxelles,0,0,0,0,0,0,0
Moskva,0,2,2,0,0,0,0
Baku,0,0,0,0,0,0,0
London,3,4,2,5,1,5,1
København,1,0,0,0,0,0,0
Rostov-na-Donu,1,0,0,0,0,0,0
Warszawa,1,0,0,0,0,0,0
Leicester,3,1,0,0,0,0,0
Razgrad,0,0,0,0,0,0,0
Sofia,0,0,0,0,0,0,0
Madrid,5,8,6,4,4,4,2
Rostov-na-Donu,1,0,0,0,0,0,0
Khimki,0,0,0,0,0,0,0
Cardiff,0,0,0,0,0,0,0
