Team,YEAR,scored_home,taken_home,taken_away,scored_away,scored,taken
1899 Hoffenheim,2018,6,8,6,5,11,14
AC Milan,2021,3,5,4,3,6,9
AEK Athen,2018,2,7,6,0,2,13
AFC Ajax,2018,7,3,2,4,11,5
AFC Ajax,2019,7,8,6,16,23,14
AFC Ajax,2020,3,3,4,4,7,7
AFC Ajax,2021,10,2,3,10,20,5
AFC Ajax,2022,0,1,2,2,2,3
APOEL Nikosia,2017,1,10,7,1,2,17
AS Monaco,2016,6,2,5,3,9,7
AS Monaco,2017,8,13,16,11,19,29
AS Monaco,2018,1,8,6,1,2,14
AS Roma,2017,4,0,6,5,9,6
AS Roma,2018,16,4,17,7,23,21
AS Roma,2019,2,1,3,1,3,4
Arsenal FC,2016,10,2,4,8,18,6
Arsenal FC,2017,1,5,5,1,2,10
Atalanta,2019,4,3,9,4,8,12
Atalanta,2020,8,11,3,11,19,14
Atalanta,2021,5,6,11,8,13,17
Atlético Madrid,2016,5,1,1,2,7,2
Atlético Madrid,2017,7,4,7,6,13,11
Atlético Madrid,2018,7,1,5,2,9,6
Atlético Madrid,2019,7,2,6,3,10,8
Atlético Madrid,2020,5,3,9,7,12,12
Atlético Madrid,2021,2,5,6,5,7,11
Atlético Madrid,2022,1,1,1,1,2,2
BSC Young Boys,2018,3,5,7,1,4,12
BSC Young Boys,2021,6,8,4,1,7,12
Bayer Leverkusen,2016,5,2,2,3,8,4
Bayer Leverkusen,2017,2,4,0,0,2,4
Bayer Leverkusen,2019,3,5,4,2,5,9
Bayern München,2016,10,1,5,4,14,6
Bayern München,2017,15,4,10,11,26,14
Bayern München,2018,14,4,7,14,28,11
Bayern München,2019,9,4,4,16,25,8
Bayern München,2020,13,2,6,24,37,8
Bayern München,2021,17,6,2,14,31,8
Bayern München,2022,8,2,2,1,9,4
Beşiktaş,2016,5,5,9,4,9,14
Beşiktaş,2017,4,2,3,7,11,5
Beşiktaş,2018,1,3,5,0,1,8
Beşiktaş,2021,3,8,11,0,3,19
Bor. Mönchengladbach,2016,3,4,8,2,5,12
Bor. Mönchengladbach,2020,8,5,4,8,16,9
Bor. Mönchengladbach,2021,0,2,2,0,0,4
Borussia Dortmund,2016,11,6,3,10,21,9
Borussia Dortmund,2017,9,9,11,5,14,20
Borussia Dortmund,2018,7,0,2,3,10,2
Borussia Dortmund,2019,5,4,8,3,8,12
Borussia Dortmund,2020,8,2,6,6,14,8
Borussia Dortmund,2021,10,7,12,7,17,19
CSKA Moskva,2016,2,3,8,3,5,11
CSKA Moskva,2017,3,6,4,5,8,10
CSKA Moskva,2018,3,4,5,5,8,9
Celtic FC,2016,3,7,9,2,5,16
Celtic FC,2017,1,8,10,4,5,18
Chelsea FC,2017,10,4,4,6,16,8
Chelsea FC,2018,1,1,3,0,1,4
Chelsea FC,2019,6,6,3,5,11,9
Chelsea FC,2020,4,4,5,11,15,9
Chelsea FC,2021,13,1,5,9,22,6
Chelsea FC,2022,3,3,3,5,8,6
Club Brugge KV,2016,1,7,7,1,2,14
Club Brugge KV,2018,1,2,3,5,6,5
Club Brugge KV,2019,1,8,4,3,4,12
Club Brugge KV,2020,4,4,6,4,8,10
Club Brugge KV,2021,2,11,9,4,6,20
Crvena Zvezda,2018,3,4,13,2,5,17
Crvena Zvezda,2019,3,11,9,0,3,20
Dinamo Kyiv,2016,7,4,2,1,8,6
Dinamo Kyiv,2020,1,6,7,3,4,13
Dinamo Kyiv,2021,1,3,8,0,1,11
Dinamo Zagreb,2016,0,6,9,0,0,15
Dinamo Zagreb,2019,8,7,6,2,10,13
FC Barcelona,2016,15,0,4,5,20,4
FC Barcelona,2017,14,2,7,1,15,9
FC Barcelona,2018,14,2,8,8,22,10
FC Barcelona,2019,16,3,6,5,21,9
FC Barcelona,2020,12,14,1,10,22,15
FC Barcelona,2021,2,7,7,2,4,14
FC Basel,2016,3,7,5,0,3,12
FC Basel,2017,7,2,3,4,11,5
FC Basel,2018,0,4,1,2,2,5
FC København,2016,4,0,2,3,7,2
FC Midtjylland,2020,2,7,6,2,4,13
FC Porto,2016,7,1,2,2,9,3
FC Porto,2017,9,8,5,6,15,13
FC Porto,2018,8,7,4,7,15,11
FC Porto,2019,4,5,4,1,5,9
FC Porto,2020,5,0,3,5,10,3
FC Porto,2021,5,11,6,4,9,17
FC Schalke 04,2018,4,1,3,2,6,4
FC Schalke 04,2019,2,3,7,0,2,10
FC Sheriff,2021,3,6,5,4,7,11
FK Krasnodar,2020,2,6,5,4,6,11
FK Rostov,2016,5,5,7,1,6,12
Ferencvárosi TC,2020,3,9,8,2,5,17
Feyenoord,2017,3,7,7,2,5,14
Galatasaray,2018,5,3,5,0,5,8
Galatasaray,2019,1,3,11,0,1,14
Inter,2018,4,3,4,2,6,7
Inter,2019,4,3,6,6,10,9
Inter,2020,2,4,5,5,7,9
Inter,2021,5,2,3,3,8,5
Inter,2022,0,2,0,1,1,2
Juventus,2016,3,1,1,8,11,2
Juventus,2017,11,6,4,7,18,10
Juventus,2018,7,7,4,9,16,11
Juventus,2019,10,3,6,7,17,9
Juventus,2020,7,4,2,9,16,6
Juventus,2021,9,4,6,5,14,10
Juventus,2022,0,3,1,1,1,4
KRC Genk,2019,2,8,12,3,5,20
Lazio Roma,2020,8,4,3,3,11,7
Lazio Roma,2021,1,4,2,1,2,6
Legia Warszawa,2016,4,9,15,5,9,24
Leicester City,2016,4,1,5,3,7,6
Leicester City,2017,3,1,3,1,4,4
Lille OSC,2019,2,5,9,2,4,14
Lille OSC,2021,1,0,4,6,7,4
Lille OSC,2022,1,2,2,0,1,4
Liverpool FC,2017,12,2,4,11,23,6
Liverpool FC,2018,16,4,13,11,27,17
Liverpool FC,2019,13,5,8,15,28,13
Liverpool FC,2020,5,5,2,7,12,7
Liverpool FC,2021,9,2,7,13,22,9
Liverpool FC,2022,5,5,3,8,13,8
Lokomotiv Moskva,2018,3,4,8,1,4,12
Lokomotiv Moskva,2019,1,6,5,3,4,11
Lokomotiv Moskva,2020,3,6,4,2,5,10
Malmö FF,2021,1,5,9,0,1,14
Manchester City,2016,8,2,8,4,12,10
Manchester City,2017,10,4,7,10,20,11
Manchester City,2018,11,7,6,11,22,13
Manchester City,2019,19,5,5,11,30,10
Manchester City,2020,12,5,1,6,18,6
Manchester City,2021,18,7,7,12,30,14
Manchester City,2022,5,3,3,6,11,6
Manchester United,2017,7,1,2,5,12,3
Manchester United,2018,2,3,3,6,8,6
Manchester United,2019,0,3,4,3,3,7
Manchester United,2020,10,4,6,5,15,10
Manchester United,2021,6,4,4,5,11,8
Manchester United,2022,0,1,1,1,1,2
NK Maribor,2017,2,9,7,1,3,16
Olympiakos Piraeus,2017,2,5,8,2,4,13
Olympiakos Piraeus,2019,5,5,9,3,8,14
Olympiakos Piraeus,2020,1,3,7,1,2,10
Olympique Lyon,2016,3,1,2,2,5,3
Olympique Lyon,2018,6,6,5,6,12,11
Olympique Lyon,2019,6,4,9,4,10,13
Olympique Lyon,2020,1,3,3,4,5,6
Olympique Marseille,2020,2,6,7,0,2,13
PFC Ludogorets Razgrad,2016,3,6,9,3,6,15
PSV Eindhoven,2016,1,3,8,3,4,11
PSV Eindhoven,2018,4,6,7,2,6,13
Paris Saint-Germain,2016,6,3,4,7,13,7
Paris Saint-Germain,2017,19,1,9,11,30,10
Paris Saint-Germain,2018,11,6,8,8,19,14
Paris Saint-Germain,2019,10,3,2,10,20,5
Paris Saint-Germain,2020,9,4,6,12,21,10
Paris Saint-Germain,2021,11,7,10,11,22,17
Paris Saint-Germain,2022,1,0,3,1,2,3
Qarabağ FK,2017,1,6,8,1,2,14
RB Leipzig,2017,5,5,6,5,10,11
RB Leipzig,2019,4,5,3,6,10,8
RB Leipzig,2020,12,7,9,5,17,16
RB Leipzig,2021,5,7,11,10,15,18
RB Salzburg,2019,8,7,6,8,16,13
RB Salzburg,2020,4,10,7,6,10,17
RB Salzburg,2021,6,2,4,2,8,6
RB Salzburg,2022,1,1,7,1,2,8
RSC Anderlecht,2017,1,9,8,1,2,17
Real Madrid,2016,9,4,6,7,16,10
Real Madrid,2017,17,6,9,20,37,15
Real Madrid,2018,14,11,3,14,28,14
Real Madrid,2019,11,8,5,6,17,13
Real Madrid,2020,8,7,6,5,13,13
Real Madrid,2021,12,6,2,10,22,8
Real Madrid,2022,8,5,6,7,15,11
SL Benfica,2016,3,3,7,7,10,10
SL Benfica,2017,2,5,13,0,2,18
SL Benfica,2018,2,3,8,4,6,11
SL Benfica,2019,6,3,8,4,10,11
SL Benfica,2021,5,4,5,2,7,9
SL Benfica,2022,3,5,3,4,7,8
SSC Napoli,2016,6,5,3,5,11,8
SSC Napoli,2017,9,8,9,4,13,17
SSC Napoli,2018,5,2,3,2,7,5
SSC Napoli,2019,7,1,3,4,11,4
SSC Napoli,2020,1,1,3,1,2,4
Sevilla FC,2016,6,3,0,1,7,3
Sevilla FC,2017,10,5,10,4,14,15
Sevilla FC,2018,1,2,1,2,3,3
Sevilla FC,2020,4,6,2,5,9,8
Sevilla FC,2021,6,6,4,3,9,10
Shakhtar Donetsk,2017,7,3,6,2,9,9
Shakhtar Donetsk,2018,5,7,11,5,10,18
Shakhtar Donetsk,2019,2,8,5,6,8,13
Shakhtar Donetsk,2020,2,6,6,3,5,12
Shakhtar Donetsk,2021,1,6,6,1,2,12
Slavia Praha,2019,2,7,3,2,4,10
Spartak Moskva,2017,7,3,10,2,9,13
Sporting CP,2016,4,4,4,1,5,8
Sporting CP,2017,4,3,6,4,8,9
Sporting CP,2021,8,6,6,6,14,12
Sporting CP,2022,0,5,0,0,0,5
Stade Rennes,2020,3,6,5,0,3,11
Tottenham Hotspur,2016,4,4,2,2,6,6
Tottenham Hotspur,2017,9,2,2,6,15,4
Tottenham Hotspur,2018,6,7,7,6,12,14
Tottenham Hotspur,2019,15,12,11,14,29,23
Tottenham Hotspur,2020,0,1,3,0,0,4
Valencia CF,2018,5,4,2,1,6,6
Valencia CF,2019,6,6,1,3,9,7
Valencia CF,2020,3,4,4,1,4,8
VfL Wolfsburg,2021,4,5,5,1,5,10
Viktoria Plzeň,2018,4,8,8,3,7,16
Villarreal CF,2021,4,4,5,8,12,9
Villarreal CF,2022,4,4,3,4,8,7
Zenit St. Petersburg,2019,5,3,6,2,7,9
Zenit St. Petersburg,2020,3,5,8,1,4,13
Zenit St. Petersburg,2021,7,4,6,3,10,10
İstanbul Başakşehir,2020,5,7,11,2,7,18
