Country,%_fans
Afghanistan,
Albania,
Algeria,
American Samoa,
Andorra,
Angola,
Anguilla,
Antarctica,
Antigua and Barbuda,
Argentina,52%
Armenia,
Aruba,
Australia,22%
Austria,
Azerbaijan,
Azores,
Bahamas,
Bahrain,
Bangladesh,
Barbados,
Belarus,
Belgium,30%
Belize,
Benin,
Bermuda,
Bhutan,
Bolivia,
Bonaire,
Bosnia and Herzegovina,
Botswana,
Bouvet Island,
Brazil,50.0%
British Indian Ocean Territory,
British Virgin Islands,
Brunei Darussalam,
Bulgaria,
Burkina Faso,
Burundi,
Cabo Verde,
Cambodia,
Cameroon,
Canada,15%
Canarias,
Cayman Islands,
Central African Republic,
Chad,
Chile,36%
China,41%
Christmas Island,
Cocos Islands,
Colombia,0.54
Comoros,
Congo,
Congo DRC,
Cook Islands,
Costa Rica,
Côte d'Ivoire,
Croatia,
Cuba,
Curacao,
Cyprus,
Czech Republic,
Denmark,
Djibouti,
Dominica,
Dominican Republic,
Ecuador,
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,
Eswatini,
Ethiopia,
Falkland Islands,
Faroe Islands,
Fiji,
Finland,
France,34%
French Guiana,
French Polynesia,
French Southern Territories,
Gabon,
Gambia,
Georgia,
Germany,38%
Ghana,
Gibraltar,
Glorioso Islands,
Greece,
Greenland,
Grenada,
Guadeloupe,
Guam,
Guatemala,
Guernsey,
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Heard Island and McDonald Islands,
Honduras,
Hungary,18%
Iceland,
India,61.00%
Indonesia,69.00%
Iran,
Iraq,
Ireland,41.00%
Isle of Man,
Israel,23%
Italy,44%
Jamaica,
Japan,14%
Jersey,
Jordan,
Juan De Nova Island,
Kazakhstan,
Kenya,
Kiribati,
Kuwait,
Kyrgyzstan,
Laos,
Latvia,
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,
Lithuania,
Luxembourg,
Madagascar,
Madeira,
Malawi,
Malaysia,41%
Maldives,
Mali,
Malta,
Marshall Islands,
Martinique,
Mauritania,
Mauritius,
Mayotte,
Mexico,44%
Micronesia,
Moldova,
Monaco,
Mongolia,
Montenegro,
Montserrat,
Morocco,
Mozambique,
Myanmar,
Namibia,
Nauru,
Nepal,
Netherlands,26%
New Caledonia,
New Zealand,
Nicaragua,
Niger,
Nigeria,
Niue,
Norfolk Island,
North Korea,
North Macedonia,
Northern Mariana Islands,
Norway,
Oman,
Pakistan,
Palau,
Palestinian Territory,
Panama,
Papua New Guinea,
Paraguay,
Peru,49%
Philippines,
Pitcairn,
Poland,42%
Portugal,
Puerto Rico,
Qatar,
Réunion,
Romania,28%
Russian Federation,
Rwanda,
Saba,
Saint Barthelemy,
Saint Eustatius,
Saint Helena,
Saint Kitts and Nevis,
Saint Lucia,
Saint Martin,
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,67.00%
Senegal,
Serbia,
Seychelles,
Sierra Leone,
Singapore,36%
Sint Maarten,
Slovakia,
Slovenia,
Solomon Islands,
Somalia,
South Africa,50.0%
South Georgia and South Sandwich Islands,
South Korea,35%
South Sudan,
Spain,45%
Sri Lanka,
Sudan,
Suriname,
Svalbard,
Sweden,38%
Switzerland,
Syria,
Tajikistan,
Tanzania,
Thailand,47.00%
Timor-Leste,
Togo,
Tokelau,
Tonga,
Trinidad and Tobago,
Tunisia,
Turkiye,43%
Turkmenistan,
Turks and Caicos Islands,
Tuvalu,
Uganda,
Ukraine,
United Arab Emirates,64.00%
United Kingdom,41.00%
United States,19%
United States Minor Outlying Islands,
Uruguay,
US Virgin Islands,
Uzbekistan,
Vanuatu,
Vatican City,
Venezuela,
Vietnam,
Wallis and Futuna,
Yemen,
Zambia,
Zimbabwe,
"Zimbabwe,0.0,Never participated",
