datetime,count_searches,"Game day (Yes =1, No=0)"
2024-02-01,7,0
2024-02-02,16,0
2024-02-03,25,1
2024-02-04,19,1
2024-02-05,7,0
2024-02-06,11,0
2024-02-07,11,0
2024-02-08,9,0
2024-02-09,12,0
2024-02-10,16,1
2024-02-11,17,1
2024-02-12,10,0
2024-02-13,7,0
2024-02-14,11,0
2024-02-15,12,0
2024-02-16,9,0
2024-02-17,12,1
2024-02-18,8,1
2024-02-19,5,0
2024-02-20,18,0
2024-02-21,7,0
2024-02-22,7,0
2024-02-23,9,0
2024-02-24,24,1
2024-02-25,5,0
2024-02-26,2,0
2024-02-27,11,0
2024-02-28,14,0
2024-02-29,7,0
